tmdb	title	tagline	release	runtime	genres	overview	poster	backdrop	trailers
19913	(500) Days of Summer	This is not a love story. This is a story about love.	2009-07-17	95	Comedy Drama Romance 	Tom.. greeting-card writer and hopeless romantic.. is caught completely off-guard when his girlfriend.. Summer.. suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour.. and in doing so.. Tom rediscovers his true passions in life.	/f9mbM0YMLpYemcWx6o2WeiYQLDP.jpg	/sJ1YRRUMsxaeYwd7eNOiblIx5fW.jpg	PsD0NpFSADM TNEkwcY7OI0 r-xJ15AN9ts 
217316	1	The True Story of the Drivers Who Risked Their Lives and Changed the Sport Forever	2013-09-30	112	Documentary 	Set in the golden era of Grand Prix Racing '1' tells the story of a generation of charismatic drivers who raced on the edge.. risking their lives during Formula 1's deadliest period.. and the men who stood up and changed the sport forever.	/jo7KYaK7Rf7Ru6uhbDHAzMhjUG4.jpg	/nPqDbXYaMhR2XKQ9IU8bkX7YgO7.jpg	k59zcs00k0A 
333371	10 Cloverfield Lane	Monsters come in many forms.	2016-03-10	104	Thriller Sci-Fi Drama Horror 	After getting in a car accident.. a woman is held in a shelter with two men.. who claim the outside world is affected by a widespread chemical attack.	/84Dhwz93vCin6T1PX6ctSvWEuNE.jpg	/9G8SmOBWuo0ME6FIwCockkwbNMq.jpg	yQy-ANhnUpE 
58547	10 Years	Who Got Fat? Who Didn't Change? Who Got Rich? Who Got Hot?	2011-09-12	100	Comedy Drama 	A group of friends reunite ten years after their high-school graduation.	/xAVXW93b6BXkmfXHJHYUoFehjb0.jpg	/m3i3asfpbMyIW7tGOfq9w7T0Q7F.jpg	pwAPIcDnUyA 
7840	10..000 BC	The legend. The battle. The first hero.	2008-02-22	109	Adventure Action Drama Fantasy 	A prehistoric epic that follows a young mammoth hunter's journey through uncharted territory to secure the future of his tribe.	/peOt178DNroZYzm2ncz9aZLzgB4.jpg	/1oFMH3f5HJ9AJVnqQuNSWvYAP6q.jpg	xPTVv60hLjc 
9282	11:14	Fate can change in seconds.	2003-09-05	86	Crime Drama Thriller Mystery 	Tells the seemingly random yet vitally connected story of a set of incidents that all converge one evening at 11:14pm. The story follows the chain of events of five different characters and five different storylines that all converge to tell the story of murder and deceit.	/pR2hj9MvnLeax2efwrEvRkHadgp.jpg	/8XPw0L1RlH5kjt61leLzXXRM3Md.jpg	XS8gh5qMlFw 
429351	12 Strong	The declassified true story of the horse soldiers	2018-01-16	127	Drama Action History War 	A team of CIA agents and special forces head into Afghanistan in the aftermath of the September 11th attacks in an attempt to dismantle the Taliban.	/j18021qCeRi3yUBtqd2UFj1c0RQ.jpg	/x5EUEv1N9g4BCX9GQXKvv3nqMVo.jpg	-Denciie5oA Zxag9p-63RU XUDmmuxaS8A 
76203	12 Years a Slave	The extraordinary true story of Solomon Northup	2013-10-18	127	Drama History 	In the pre-Civil War United States.. Solomon Northup.. a free black man from upstate New York.. is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive.. but to retain his dignity. In the twelfth year of his unforgettable odyssey.. Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.	/xdANQijuNrJaw1HA61rDccME4Tm.jpg	/4Bb1kMIfrT2tYRZ9M6Jhqy6gkeF.jpg	z02Ie8wKKRg 
44115	127 Hours	There is no force more powerful than the will to live.	2010-11-05	94	Adventure Drama Thriller 	The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.	/dC4OeWxsQBqHEKnoUh9nF7S8Cm6.jpg	/viBWzktrBmhzRw4ehmUIrrN4C0z.jpg	Ba1IhHAqLgw OlhLOWTnVoQ 
44982	13	Spin. Aim. Survive.	2010-03-12	97	Drama Thriller 	A naive young man assumes a dead man's identity and finds himself embroiled in an underground world of power.. violence.. and chance where men gamble behind closed doors on the lives of other men.	/wl5kVo5hVSjJYCoQSuIYZtKsVn.jpg	/bUKuu0Z8rRpQECB9c6KUb2Lxa0k.jpg	Y41fFj-P4jI 
58857	13 Assassins	Take up your sword.	2010-09-09	127	Adventure Drama Action 	A bravado period action film set at the end of Japan's feudal era in which a group of unemployed samurai are enlisted to bring down a sadistic lord and prevent him from ascending to the throne and plunging the country into a war-torn future.	/3AFEVmISqWoVWpeKDkCVM3Jpj7S.jpg	/bz95FrtRKCJ2ZKXJU7ZAXxvl4Xb.jpg	Xpm007vne54 
300671	13 Hours: The Secret Soldiers of Benghazi	When everything went wrong.. six men had the courage to do what was right.	2016-01-13	127	Action History Thriller 	An American Ambassador is killed during an attack at a U.S. compound in Libya as a security team struggles to make sense out of the chaos.	/4qnEeVPM8Yn5dIVC4k4yyjrUXeR.jpg	/ayDMYGUNVvXS76wQgFwTiUIDNb5.jpg	4CJBuUwd0Os Wpsqh73gB78 
2207	16 Blocks	For a New York cop and his witness.. the distance between life and death just got very short.	2006-03-01	105	Action Adventure Crime Thriller 	An aging cop is assigned the ordinary task of escorting a fast-talking witness from police custody to a courthouse.. but they find themselves running the gauntlet as other forces try to prevent them from getting there.	/mGqZRfZx9Ao48Exn0g2FpjBlViH.jpg	/nuLKWrO7AJscJJMwqe9LKfRovSZ.jpg	XqffzRFzdco 
16996	17 Again	Who says you're only young once?	2009-03-11	102	Comedy 	On the brink of a midlife crisis.. 30-something Mike O'Donnell wishes he could have a "do-over." And that's exactly what he gets when he wakes up one morning to find he's 17 years old again. With his adult mind stuck inside the body of a teenager.. Mike actually has the chance to reverse some decisions he wishes he'd never made. But maybe they weren't so bad after all.	/yEcfFXEWpuXcfsR9nKESVCFneqV.jpg	/5iuae5Ji6WU0DrKPSMNz2MjCZfI.jpg	2wn6pAIRjjY 
584	2 Fast 2 Furious	How Fast Do You Want It?	2003-06-05	107	Action Crime Thriller 	It's a major double-cross when former police officer Brian O'Conner teams up with his ex-con buddy Roman Pearce to transport a shipment of "dirty" money for shady Miami-based import-export dealer Carter Verone. But the guys are actually working with undercover agent Monica Fuentes to bring Verone down.	/osgUUpwst1TEaSDTBrrTE6KuCbW.jpg	/z3ioibdjWZOYeXjoiabFOFOfPI3.jpg	ZZGkV_xWGw4 bvrs6Gd1j0E 
136400	2 Guns	2 Guns.. 1 Bank.	2013-08-02	109	Action Comedy Crime 	A DEA agent and an undercover Naval Intelligence officer who have been tasked with investigating one another find they have been set up by the mob -- the very organization the two men believe they have been stealing money from.	/ptURGAFktibhk7DEAbMazlmNqWa.jpg	/swyPgOP2lffHfMjeZKNnNFR9P88.jpg	AK6EbfdnTHg qnWIR2jFklo 
269795	2:22	To save their future.. he must fight his fate.	2017-06-29	99	Drama Thriller Romance Sci-Fi Mystery 	A man's life is derailed when an ominous pattern of events repeats itself in exactly the same manner every day.. ending at precisely 2:22 p.m.	/aQkXOiMi7yBR3XwDbGBzDI2Tqnq.jpg	/3zVBKPprJ9PeFBQbpT9uDiHGm61.jpg	I6DKNWM6EVo 
14161	2012	We Were Warned.	2009-10-10	127	Action Adventure Sci-Fi 	Dr. Adrian Helmsley.. part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms.. learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population.. the entire race is doomed. Meanwhile.. writer Jackson Curtis stumbles on the same information. While the world's leaders race to build "arks" to escape the impending cataclysm.. Curtis struggles to find a way to save his family. Meanwhile.. volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.	/6NGuxp2ysgv539S9EpfVngsUdD.jpg	/pvxmYJcgrLiYC6G2IQTn1PPNems.jpg	sFXGrTng0gQ ce0N3TEcFw0 
8065	21	They proved the Vegas Blackjack System was beatable...by beating the hell out of it.	2008-03-27	123	Drama Crime 	Ben Campbell is a young.. highly intelligent.. student at M.I.T. in Boston who strives to succeed. Wanting a scholarship to transfer to Harvard School of Medicine with the desire to become a doctor.. Ben learns that he cannot afford the $300..000 for the four to five years of schooling as he comes from a poor.. working-class background. But one evening.. Ben is introduced by his unorthodox math professor Micky Rosa into a small but secretive club of five. Students Jill.. Choi.. Kianna.. and Fisher.. who are being trained by Professor Rosa of the skill of card counting at blackjack.	/kOpjkOI1XQXHaY7IzDglPT1iUsT.jpg	/zqeO7ksCq9HBoROxyvfeYaUOJMr.jpg	2v9z9EACSnU 0DpvqzPdXoc 
64688	21 Jump Street	They thought the streets were mean. Then they went back to high school.	2012-03-14	109	Action Comedy Crime 	In high school.. Schmidt was a dork and Jenko was the popular jock. After graduation.. both of them joined the police force and ended up as partners riding bicycles in the city park. Since they are young and look like high school students.. they are assigned to an undercover unit to infiltrate a drug ring that is supplying high school students synthetic drugs.	/8v3Sqv9UcIUC4ebmpKWROqPBINZ.jpg	/lxCUDgZ54myV7goBrkpFoHRt9Ms.jpg	RLoKtb4c4W0 Oj55KinxZx4 
470114	24 Hours to Live	Contracted to kill. Fighting to survive.	2017-10-26	94	Action Sci-Fi Thriller Mystery 	An assassin seeks redemption after being given a second chance at life.	/w0MXP33x1bq48TDC7IaNqQ8nxcc.jpg	/jGjFwizX2YYoUOJkCymlfvS8aGp.jpg	da9xhQOcoHk 
170	28 Days Later	His fear began when he woke up alone. His terror began when he realised he wasn't.	2002-10-31	113	Horror Thriller Sci-Fi 	Twenty-eight days after a killer virus was accidentally unleashed from a British research facility.. a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans.. the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.	/sQckQRt17VaWbo39GIu0TMOiszq.jpg	/veUl0QT8swshQ9Dz0fQ1k6ZkthD.jpg	MHMdWUeYudk 
1562	28 Weeks Later	When days turn to weeks... the horror returns.	2007-04-26	100	Horror Thriller Sci-Fi 	The inhabitants of the British Isles have lost their battle against the onslaught of disease.. as the deadly rage virus has killed every citizen there. Six months later.. a group of Americans dare to set foot on the isles.. convinced the danger has come and gone. But it soon becomes all too clear that the scourge continues to live.. waiting to pounce on its next victims.	/d7vvXpS5TG14gyZ2CZzJoxmGgVN.jpg	/PN7yjmQdmG0J62jsrtmrPi8ezK.jpg	WBQnM3m4SFY 
20453	3 Idiots	Don't be Stupid. Be an I.D.I.O.T.	2009-12-23	127	Drama Comedy 	In the tradition of “Ferris Bueller’s Day Off” comes this refreshing comedy about a rebellious prankster with a crafty mind and a heart of gold. Rascal. Joker. Dreamer. Genius... You've never met a college student quite like "Rancho." From the moment he arrives at India's most prestigious university.. Rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. Together.. they make life miserable for "Virus.." the school’s uptight and heartless dean. But when Rancho catches the eye of the dean's sexy daughter.. Virus sets his sights on flunking out the "3 idiots" once and for all.	/k1iWMypGjk1b59oCHLtyfd4hw99.jpg	/u7kuUaySqXBVAtqEl9vkTkAzHV9.jpg	xvszmNXdM4w K0eDlFX9GMc 
5176	3:10 to Yuma	Time waits for one man.	2007-09-06	122	Western 	In Arizona in the late 1800s.. infamous outlaw Ben Wade and his vicious gang of thieves and murderers have plagued the Southern Railroad. When Wade is captured.. Civil War veteran Dan Evans.. struggling to survive on his drought-plagued ranch.. volunteers to deliver him alive to the "3:10 to Yuma".. a train that will take the killer to trial.	/xFKHHRlLkWxMbOdLkxlOEUbH8pO.jpg	/raVVNqnc636Pc0F65NmrqpxI6Wi.jpg	jX1m45CwvJ8 Kv6apbWxb5M 
1271	300	Spartans.. prepare for glory!	2007-03-07	117	Action Adventure War 	Based on Frank Miller's graphic novel.. "300" is very loosely based the 480 B.C. Battle of Thermopylae.. where the King of Sparta led his army against the advancing Persians; the battle is said to have inspired all of Greece to band together against the Persians.. and helped usher in the world's first democracy.	/im6ZMuKTdLxMsDpySHjV0k17lnJ.jpg	/6fS6Lonap7HSIcKSoBuqrDE88IM.jpg	UrIbxk7idYA 
53182	300: Rise of an Empire	Seize your glory!	2014-03-05	102	Action War Fantasy 	Greek general Themistokles attempts to unite all of Greece by leading the charge that will change the course of the war. Themistokles faces the massive invading Persian forces led by mortal-turned-god.. Xerxes and Artemesia.. the vengeful commander of the Persian navy.	/vWIq0BP43tgUy5faBbcTfCJX9fs.jpg	/jvSB3fDZlY7OBlqiq1bMhOT6XwF.jpg	2zqy21Z29ps 8RFWwgifCqw jGEERBDelH8 Fx8gzJIA_gs G3Rzy7YqUVU bsoJaQ2gZh4 
109410	42	The True Story Of An American Legend	2013-04-12	127	Drama 	The powerful story of Jackie Robinson.. the legendary baseball player who broke Major League Baseball’s color barrier when he joined the roster of the Brooklyn Dodgers. The film follows the innovative Dodgers’ general manager Branch Rickey.. the MLB executive who first signed Robinson to the minors and then helped to bring him up to the show.	/rRUpjEjg8XVSdPMbBQyUS9hE4zH.jpg	/4aYBwOO3paL45PbRcv59XJEsv6R.jpg	OS4zHpgK-mk HALfME0wjeU BpxSdXnykTA 
403119	47 Meters Down	No way out. No way up. No chance in hell.	2017-05-25	89	Drama Thriller Horror Adventure 	Two sisters on Mexican vacation are trapped in a shark observation cage at the bottom of the ocean.. with oxygen running low and great whites circling nearby.. they have less than an hour of air left to figure out how to get to the surface.	/2IgdRUTdHyoI3nFORcnnYEKOGIH.jpg	/6j8B3BqTuNrpAJoa0JIc7nZzOUn.jpg	VNVZBg20APg fQdn0XB40kk 
64686	47 Ronin	For courage. For loyalty. For honor.	2013-12-06	119	Drama Action Adventure Fantasy 	Kai—an outcast—joins Oishi.. the leader of 47 outcast samurai.  Together they seek vengeance upon the treacherous overlord who killed their master and banished their kind.  To restore honour to their homeland.. the warriors embark upon a quest that challenges them with a series of trials that would destroy ordinary warriors.	/xDHnmcroujCRG0ysYQaiswjbyHd.jpg	/nyt0jlofZyjhRqiQkEp0cdoKaS3.jpg	DEoDulGTElE NqyJCsNxxXU yWlyoXHMwo4 bRuKcntkX5Y vueoe5DuQyg 1HBOv6T13ls hMCH5kQVZjs 
1824	50 First Dates	Imagine having to win over the girl of your dreams... every friggin' day.	2004-02-13	99	Comedy Romance 	Henry is a player skilled at seducing women. But when this veterinarian meets Lucy.. a girl with a quirky problem when it comes to total recall.. he realizes it's possible to fall in love all over again…and again.. and again. That's because the delightful Lucy has no short-term memory.. so Henry must woo her day after day until he finally sweeps her off her feet.	/zm9dfA5iwq4vGopD86WPoHXO40T.jpg	/lwgI787F1s5mzsOKL4bd4dZgnmy.jpg	ErjP5xMTc8I Vi1uewVWxos 
40807	50/50	It takes a pair to beat the odds	2011-09-30	100	Comedy Drama 	Inspired by a true story.. a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.	/8f9tM9JVB4ETBhxlQcXIjLckArl.jpg	/rNH9k1TNIscyXHvN16SJc1uuosv.jpg	GWPfFDAFvNk 
65	8 Mile	Every Moment Is Another Chance	2002-11-08	110	Drama Music 	The setting is Detroit in 1995. The city is divided by 8 Mile.. a road that splits the town in half along racial lines. A young white rapper.. Jimmy "B-Rabbit" Smith Jr. summons strength within himself to cross over these arbitrary boundaries to fulfill his dream of success in hip hop. With his pal Future and the three one third in place.. all he has to do is not choke.	/7BmQj8qE1FLuLTf7Xjf9sdIHzoa.jpg	/bfccQmQWNFQYRv4PHgCnjDu7PXn.jpg	-OFKC3nv0oQ 
283235	99 Homes	Greed is the only game in town.	2014-10-09	112	Drama 	After his family is evicted from their home.. proud and desperate construction worker Dennis Nash tries to win his home back by striking a deal with the devil and working for Rick Carver.. the corrupt real estate broker who evicted him.	/cHKquMw8tT7eOjWb1ecR41soLzD.jpg	/8ktGralwXXc2ourCxK9lEqGilTn.jpg	sfttvNCIJvE 
453	A Beautiful Mind	He saw the world in a way no one could have imagined.	2001-12-11	127	Drama Romance 	John Nash is a brilliant but asocial mathematician fighting schizophrenia. After he accepts secret work in cryptography.. his life takes a turn for the nightmarish.	/zwzWCmH72OSC9NA0ipoqw5Zjya8.jpg	/9PwUQZDHGPKsgbnoBl1Ah9zXWjk.jpg	WFJgUm7iOKw 
381289	A Dog's Purpose	Every dog happens for a reason.	2017-01-19	100	Comedy Drama Family Fantasy Adventure 	A dog goes on quest to discover his purpose in life over the course of several lifetimes with multiple owners.	/3jcNvhtVQe5Neoffdic39fRactM.jpg	/2ddVTlMyATZdvUHE7DPExA2X6xF.jpg	1jLOOCADTGs 
375183	A Family Man	What are you working for?	2017-05-18	108	Drama 	Dane Jensen is a driven.. Chicago-based headhunter.. working at a cut-throat job placement firm. When Dane's boss announces his retirement.. he pits Dane against Lynn Vogel.. Dane's equally driven but polar-opposite rival at the firm.. in a battle for control over the company.	/hCUrI8v523NQDJNKoDxGq2nvbvw.jpg	/fQaJ5YxldrvJ7xq8EWKKT58B652.jpg	H2T3FMTEI-Q 
881	A Few Good Men	In the heart of the nation's capital.. in a courthouse of the U.S. government.. one man will stop at nothing to keep his honor.. and one will stop at nothing to find the truth.	1992-12-11	127	Drama 	When cocky military lawyer Lt. Daniel Kaffee and his co-counsel.. Lt. Cmdr. JoAnne Galloway.. are assigned to a murder case.. they uncover a hazing ritual that could implicate high-ranking officials such as shady Col. Nathan Jessep.	/rLOk4z9zL1tTukIYV56P94aZXKk.jpg	/H40nWdJngUc6gtytMAbElm9HOu.jpg	2T2pyqrr8UM uTE592ryZx4 
47964	A Good Day to Die Hard	Yippee Ki-Yay Mother Russia	2013-02-06	98	Action Thriller 	Iconoclastic.. take-no-prisoners cop John McClane.. finds himself for the first time on foreign soil after traveling to Moscow to help his wayward son Jack - unaware that Jack is really a highly-trained CIA operative out to stop a nuclear weapons heist. With the Russian underworld in pursuit.. and battling a countdown to war.. the two McClanes discover that their opposing methods make them unstoppable heroes.	/9Zq88w35f1PpM22TIbf2amtjHD6.jpg	/mV1HOCbUqx7nfFPwledYsvMYHrw.jpg	eLu3z4Ikwes 
9476	A Knight's Tale	He Will Rock You	2001-05-11	127	Adventure Drama Romance Action 	William Thatcher.. a peasant.. is sent to apprentice with a Knight named Hector as a young boy. Urged by his father to "change his Stars".. he assumes Sir Hector's place in a tournament when Hector dies in the middle of it. He wins. With the other apprentices.. he trains and assumes the title of Sir Ulrich von Lichtenstein.	/bBzCG34Iel2xgaioYakXd8auPgt.jpg	/inFHVFQb1qUzSSb8OjQs3B6kmIJ.jpg	zH6U5y086hw yw7PQDsCC4Y 
258230	A Monster Calls	Stories are wild creatures.	2016-10-07	108	Drama Fantasy 	A boy imagines a monster that helps him deal with his difficult life and see the world in a different way.	/eNTalDnE6AcFKghdvws2ckguYWC.jpg	/sBtLpesSh0pniKHGWZjgyxmtIks.jpg	uW_GNKVuZ1c oaGOEUVl-U8 WMgm20Di9Wg 8q-7trUd8Vw R6Xg_zl7Jhw R28irt57Uq8 1E-bYpOT1po 
12403	A Perfect Getaway	Welcome to paradise. Enter at your own risk.	2009-06-08	98	Thriller Mystery Adventure 	For their honeymoon.. newlyweds Cliff and Cydney head to the tropical islands of Hawaii. While journeying through the paradisaical countryside the couple encounters Kale and Cleo.. two disgruntled hitchhikers and Nick and Gina.. two wild but well-meaning spirits who help guide them through the lush jungles. The picturesque waterfalls and scenic mountainsides quickly give way to terror when Cliff and Cydney learn of a grisly murder that occurred nearby and realize that they're being followed by chance acquaintances that suspiciously fit the description of the killers.	/1o02GkPUt53cJpkvTrbz6hFygOI.jpg	/5LDZyMvFN1cHtfXCVs54BODa2qk.jpg	izudtkH3rkU 
1965	A Perfect Murder	A powerful husband. An unfaithful wife. A jealous lover. All of them have a motive. Each of them has a plan.	1998-06-05	107	Crime Thriller Drama 	Millionaire industrialist Steven Taylor is a man who has everything but what he craves most: the love and fidelity of his wife. A hugely successful player in the New York financial world.. he considers her to be his most treasured acquisition. But she needs more than simply the role of dazzling accessory.	/wC0ax12N9GQ8vMXPEs4nES5AAiB.jpg	/dNW7ftcqEAvKmDkuRPaLC4gnhwJ.jpg	K8X6yTa92VY 
447332	A Quiet Place	If they hear you.. they hunt you.	2018-04-03	91	Horror Drama Sci-Fi 	A family is forced to live in silence while hiding from creatures that hunt by sound.	/nAU74GmpUk7t5iklEp3bufwDq4n.jpg	/roYyPiQDQKmIKUEhO912693tSja.jpg	p9wE8dyzEJE P8Q6ma2sfJQ WR7cc5t7tv8 tcp5WJYrwsE McedVvscNNI RbLyhSiOA4Y rqEnM25BsNQ 
484247	A Simple Favor	Can you keep a secret?	2018-08-29	117	Crime Comedy Mystery Drama Thriller 	Stephanie.. a dedicated mother and popular vlogger.. befriends Emily.. a mysterious upper-class woman whose son Nicky attends the same school as Miles.. Stephanie's son. When Emily asks her to pick Nicky up from school and then disappears.. Stephanie undertakes an investigation that will dive deep into Emily's cloudy past.	/aIYsjQM0piKc0ibPBCTWv3sqshj.jpg	/nb1s8r6MhDcPyMjx3sjw9rFsEP5.jpg	fbNgGYXNgGM BXLWzAfE0jk rAqMlh0b2HU 
332562	A Star Is Born	Is the price of stardom a broken heart	2018-10-03	127	Drama Romance Music 	Seasoned musician Jackson Maine discovers — and falls in love with — struggling artist Ally. She has just about given up on her dream to make it big as a singer — until Jack coaxes her into the spotlight. But even as Ally's career takes off.. the personal side of their relationship is breaking down.. as Jack fights an ongoing battle with his own internal demons.	/wrFpXMNBRj2PBiN4Z5kix51XaIZ.jpg	/mnDvPokXpvsdPcWSjNRPhiiLOKu.jpg	nSbzyEJ8X9E I3h6TVdD268 4eZuEXF_nRw ukg0fNQhy7M 3tnl9Kpw5jY 
169917	A Walk Among the Tombstones	Some people are afraid of all the wrong things	2014-09-18	113	Crime Drama Mystery Thriller 	Private investigator Matthew Scudder is hired by a drug kingpin to find out who kidnapped and murdered his wife.	/bQTHTZezSudf27mMQtedHf1XpgO.jpg	/isrro0soStk2tSWMsI50lPPhUsU.jpg	0JjRoh13vzY 
407451	A Wrinkle in Time	Be a warrior	2018-03-08	109	Adventure Sci-Fi Family Fantasy 	After the disappearance of her scientist father.. three peculiar beings send Meg.. her brother.. and her friend to space in order to find him.	/yAcb58vipewa1BfNit2RjE6boXA.jpg	/zqUaMojohr96itJYCE3W1NauTn7.jpg	E4U3TeY2wtM UhZ56rcWwRQ zvN1u9BwlSo kEEBq1vDTa8 WiPVPS9Bjhs Kau_bpskU94 ZwqpCDOFPig SRy16biMcxI s3WRsZhvF3Y -LRhcadlX8c DlNF9jkXMao JC0LVaz5ZL0 MHJBdfmeCss h54xISO-fJ0 
59965	Abduction	They stole his life. He's taking it back.	2011-09-22	106	Thriller Action Mystery 	A young man sets out to uncover the truth about his life after finding his baby photo on a missing persons website.	/coL8O01xtvBTT6KsjGteDNglmKJ.jpg	/1YWLV7cmrmwfVaqj0KbaNcMdTsn.jpg	CEVkp5Je7m0 
122906	About Time	What if every moment in life came with a second chance?	2013-08-16	123	Comedy Drama Romance Fantasy 	The night after another unsatisfactory New Year party.. Tim's father tells his son that the men in his family have always had the ability to travel through time. Tim can't change history.. but he can change what happens and has happened in his own life – so he decides to make his world a better place... by getting a girlfriend. Sadly.. that turns out not to be as easy as he thinks.	/ls6zswrOZVhCXQBh96DlbnLBajM.jpg	/gfwiI66pkNA6EGgKNZiAsDnnoYc.jpg	7OIFdWk83no 
464502	Acrimony	Hell Hath No Fury	2018-03-30	120	Thriller 	A faithful wife takes action when it becomes clear to her that her devious husband has betrayed her.	/upURIW6jeEcTJKpaJeoNw5jbcr1.jpg	/qTGhOP8eFA5tjn4Lka4UVfDv1Zb.jpg	wlpunOUxYSo 
429300	Adrift	Fight for survival	2018-05-31	96	Thriller Romance Adventure 	A true story of survival.. as a young couple's chance encounter leads them first to love.. and then on the adventure of a lifetime as they face one of the most catastrophic hurricanes in recorded history.	/5gLDeADaETvwQlQow5szlyuhLbj.jpg	/64jAqTJvrzEwncD3ARZdqYLcqbc.jpg	n9ukI7khQpE HdMP4sWc71M U7m2P7UUaeI SscY52d22eo mXHYuS-i4Ts jTaNsWPDPyY TxTVp62BGSc FjGoding8Bo 
82700	After Earth	Danger is real.. fear is a choice	2013-05-30	100	Sci-Fi Action Adventure 	One thousand years after cataclysmic events forced humanity's escape from Earth.. Nova Prime has become mankind's new home. Legendary General Cypher Raige returns from an extended tour of duty to his estranged family.. ready to be a father to his 13-year-old son.. Kitai. When an asteroid storm damages Cypher and Kitai's craft.. they crash-land on a now unfamiliar and dangerous Earth. As his father lies dying in the cockpit.. Kitai must trek across the hostile terrain to recover their rescue beacon. His whole life.. Kitai has wanted nothing more than to be a soldier like his father. Today.. he gets his chance.	/lZKG177ftMKamtHQFCZjWEVi1br.jpg	/958IEMxVqU3FFOdZll3PcFLoyef.jpg	CZIt20emgLY -r9IXze_tPM MKIXQdv4G7o 
152748	Ain't Them Bodies Saints	Every day I wake up thinking today's the day I'm gonna see you.	2013-07-03	96	Crime Drama Romance Western 	Bob Muldoon and Ruth Guthrie.. an impassioned young outlaw couple on an extended crime spree.. are finally apprehended by lawmen after a shootout in the Texas hills. Although Ruth wounds a local officer.. Bob takes the blame. But four years later.. Bob escapes from prison and sets out to find Ruth and their daughter.. born during his incarceration.	/xkGkVjeMcvEg7P3VxWy8wYBJ7Dv.jpg	/A7z7AE0USbyYkgcRlU94KgelKUn.jpg	ga0c0v-stK0 
812	Aladdin	Wish granted!	1992-11-25	90	Animation Family Adventure Fantasy Romance 	Princess Jasmine grows tired of being forced to remain in the palace.. so she sneaks out into the marketplace.. in disguise.. where she meets street-urchin Aladdin.  The couple falls in love.. although Jasmine may only marry a prince.  After being thrown in jail.. Aladdin becomes embroiled in a plot to find a mysterious lamp.. with which the evil Jafar hopes to rule the land.	/n4N2pIHsrQmXZArfLFgvowbfvFn.jpg	/5OeY4U2rzePxWq2rkqMajUx2gz7.jpg	gWLa6y7Z2TE 
420817	Aladdin	Choose Wisely.	2019-05-22	127	Adventure Fantasy Romance Comedy Family 	A kindhearted street urchin named Aladdin embarks on a magical adventure after finding a lamp that releases a wisecracking genie while a power-hungry Grand Vizier vies for the same lamp that has the power to make their deepest wishes come true.	/3iYQTLGoy7QnjcUYRJy4YrAgGvp.jpg	/v4yVTbbl8dE1UP2dWu5CLyaXOku.jpg	9g5knnlF7Zo 7hHECMVOq7g foyufD52aog 
11238	Aladdin and the King of Thieves	The Spectacular Adventure Continues!	1996-05-20	81	Adventure Animation Family 	Legendary secrets are revealed as Aladdin and his friends—Jasmine.. Abu.. Carpet and.. of course.. the always entertaining Genie—face all sorts of terrifying threats and make some exciting last-minute escapes pursuing the King Of Thieves and his villainous crew.	/kTH7qEyvdDYMoQraQZm3LFKCge3.jpg	/a7WdS5iDNHtwJNrcKqUb6rC2w9l.jpg	eIobMaMQwVY zIJFDIV7SrI 
1966	Alexander	The greatest legend of all was real	2004-11-21	127	War History Action Adventure Drama Romance 	Alexander.. the King of Macedonia.. leads his legions against the giant Persian Empire. After defeating the Persians.. he leads his army across the then known world.. venturing farther than any westerner had ever gone.. all the way to India.	/4K3rfHv7Cv6BHhtoXIdXHeO3oE5.jpg	/sqY4MVhtCCwQsUaiO9ge3HLSfYy.jpg	Bh6LKIdxqCU WPwTtlx7wQU 
218778	Alexander and the Terrible.. Horrible.. No Good.. Very Bad Day	One day can change everything.	2014-10-08	81	Family Comedy 	Alexander's day begins with gum stuck in his hair.. followed by more calamities. Though he finds little sympathy from his family and begins to wonder if bad things only happen to him.. his mom.. dad.. brother.. and sister all find themselves living through their own terrible.. horrible.. no good.. very bad day.	/AqX5CE4WNuewyNY3MFt6wB7UzXz.jpg	/veemaD7rVnC72i3qLddo5dZqr1r.jpg	Z_dideF5qvk 
