tmdb	title	tagline	release	runtime	genres	overview	poster	backdrop	trailers
206647	Spectre	A Plan No One Escapes	2015-10-26	127	Action Adventure Thriller 	A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive.. Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.	/672kUEMtTHcaVYSVY4eiHEliHFa.jpg	/2n6uCKYNRiu9Cu8nhfITyBYnJGG.jpg	kQx_SrKS1sQ ujmoYyEyDP8 z4UDNzXD3qA xf8wVezS3JY 
1637	Speed	Get ready for rush hour	1994-06-09	116	Action Adventure Crime 	Los Angeles SWAT cop Jack Traven is up against bomb expert Howard Payne.. who's after major ransom money. First it's a rigged elevator in a very tall building. Then it's a rigged bus--if it slows.. it will blow.. bad enough any day.. but a nightmare in LA traffic. And that's still not the end.	/Apu3Ecg11bIEEiKLnbhagGtWNg7.jpg	/7YhbLEnFDTpiwFXxbsuLU5GR4Dg.jpg	aRmhneo5A48 4Y6T7At_lTk 
7459	Speed Racer	Go!	2008-05-07	127	Family Action Adventure Comedy 	Speed Racer is the tale of a young and brilliant racing driver. When corruption in the racing leagues costs his brother his life.. he must team up with the police and the mysterious Racer X to bring an end to the corruption and criminal activities. Inspired by the cartoon series.	/yQkxpeWeLRFQ5mKMPXqYHjITOE.jpg	/4lXZkIp40nwcxEYhrCCGjs0qUXw.jpg	FCxpdDhPwwc 5Nyn5ffoe-M LlSydVhbwRQ 8V8sLlqJB2w 
10153	Sphere	A thousand feet beneath the sea.. the blackest holes are in the mind...	1998-02-13	127	Sci-Fi Drama Horror Mystery 	The OSSA discovers a spacecraft thought to be at least 300 years old at the bottom of the ocean. Immediately following the discovery.. they decide to send a team down to the depths of the ocean to study the space craft. They are the best of best.. smart and logical.. and the perfect choice to learn more about the spacecraft.	/hPTq8pLcjg4w9sKaekBJVyTchUu.jpg	/vf2uP6OybvI7lbs1G39EFj7gWpW.jpg	G0hBmpHOO5I 
557	Spider-Man	Go for the Ultimate Spin.	2002-05-01	121	Fantasy Action 	After being bitten by a genetically altered spider.. nerdy high school student Peter Parker is endowed with amazing powers to become the Amazing superhero known as Spider-Man.	/cqyN8Kt10wCrIUUZX7l5uDJIY0C.jpg	/vugNEFkYXrR6yjr6ZoawnHNyCmu.jpg	O7zvehDxttM Ozz8uxW733Q 
558	Spider-Man 2	There's a hero in all of us.	2004-06-25	127	Action Adventure Fantasy 	Peter Parker is going through a major identity crisis. Burned out from being Spider-Man.. he decides to shelve his superhero alter ego.. which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime.. Parker still can't act on his feelings for Mary Jane Watson.. a girl he's loved since childhood.	/olxpyq9kJAZ2NU1siLshhhXEPR7.jpg	/6al048Lat3eLVQOuKtc9h6Tu94d.jpg	3jBFwltrxJw 
559	Spider-Man 3	The battle within.	2007-05-01	127	Fantasy Action Adventure 	The seemingly invincible Spider-Man goes up against an all-new crop of villains—including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism.. his alter ego.. Peter Parker.. deals with nemesis Eddie Brock and also gets caught up in a love triangle.	/sqZKCRYGovZ8aN99VVJSdL8Ja9k.jpg	/6MQmtWk4cFwSDyNvIgoJRBIHUT3.jpg	wPosLpgMtTY 
429617	Spider-Man: Far from Home	It’s time to step up.	2019-06-28	127	Action Adventure Sci-Fi 	Peter Parker and his friends go on a summer trip to Europe. However.. they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent.	/4q2NNj4S5dG2RLF9CpXsej7yXl.jpg	/5myQbDzw3l8K9yofUXRJ4UTVgam.jpg	DYYtuKyMtY8 V38cLTYYXNw LFoz8ZJWmPs 77OjEqP9UFQ 
315635	Spider-Man: Homecoming	Homework can wait. The city can't.	2017-07-05	127	Action Adventure Sci-Fi Drama 	Following the events of Captain America: Civil War.. Peter Parker.. with the help of his mentor Tony Stark.. tries to balance his life as an ordinary high school student in Queens.. New York City.. with fighting crime as his superhero alter ego Spider-Man as a new threat.. the Vulture.. emerges.	/c24sv2weTHPsmDa7jEMN0m2P3RT.jpg	/vc8bCGjdVp0UbMNLzHnHSLRbBWQ.jpg	rk-dF1lIbIg lCkVr1n1eCA DiTECkLZ8HM xpu9yRO_rvU xbQdPBiF3Co xEvV3OsE2WM 
324857	Spider-Man: Into the Spider-Verse	More Than One Wears the Mask	2018-12-06	117	Action Adventure Animation Sci-Fi Comedy 	Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson "Kingpin" Fisk uses a super collider.. others from across the Spider-Verse are transported to this dimension.	/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg	/uUiId6cG32JSRI6RyBQSvQtLjz2.jpg	ii3n7hYQOl4 g4Hbz2jLxvQ tg52up16eq0 
