id,tmdb,title,tagline,release_date,poster,backdrop,trailers
28,109410,42,The True Story Of An American Legend,2013-04-12,rRUpjEjg8XVSdPMbBQyUS9hE4zH,/4aYBwOO3paL45PbRcv59XJEsv6R.jpg,OS4zHpgK-mk HALfME0wjeU BpxSdXnykTA 
29,403119,47 Meters Down,No way out. No way up. No chance in hell.,2017-05-25,2IgdRUTdHyoI3nFORcnnYEKOGIH,/6j8B3BqTuNrpAJoa0JIc7nZzOUn.jpg,VNVZBg20APg fQdn0XB40kk 
30,64686,47 Ronin,For courage. For loyalty. For honor.,2013-12-06,xDHnmcroujCRG0ysYQaiswjbyHd,/nyt0jlofZyjhRqiQkEp0cdoKaS3.jpg,DEoDulGTElE NqyJCsNxxXU yWlyoXHMwo4 bRuKcntkX5Y vueoe5DuQyg 1HBOv6T13ls hMCH5kQVZjs 
31,1824,50 First Dates,Imagine having to win over the girl of your dreams... every friggin' day.,2004-02-13,zm9dfA5iwq4vGopD86WPoHXO40T,/lwgI787F1s5mzsOKL4bd4dZgnmy.jpg,ErjP5xMTc8I Vi1uewVWxos 
32,40807,50/50,It takes a pair to beat the odds,2011-09-30,8f9tM9JVB4ETBhxlQcXIjLckArl,/rNH9k1TNIscyXHvN16SJc1uuosv.jpg,GWPfFDAFvNk 
33,65,8 Mile,Every Moment Is Another Chance,2002-11-08,7BmQj8qE1FLuLTf7Xjf9sdIHzoa,/bfccQmQWNFQYRv4PHgCnjDu7PXn.jpg,-OFKC3nv0oQ 
34,283235,99 Homes,Greed is the only game in town.,2014-10-09,cHKquMw8tT7eOjWb1ecR41soLzD,/8ktGralwXXc2ourCxK9lEqGilTn.jpg,sfttvNCIJvE 
35,453,A Beautiful Mind,He saw the world in a way no one could have imagined.,2001-12-11,zwzWCmH72OSC9NA0ipoqw5Zjya8,/9PwUQZDHGPKsgbnoBl1Ah9zXWjk.jpg,WFJgUm7iOKw 
36,381289,A Dog's Purpose,Every dog happens for a reason.,2017-01-19,3jcNvhtVQe5Neoffdic39fRactM,/2ddVTlMyATZdvUHE7DPExA2X6xF.jpg,1jLOOCADTGs 
37,375183,A Family Man,What are you working for?,2017-05-18,hCUrI8v523NQDJNKoDxGq2nvbvw,/fQaJ5YxldrvJ7xq8EWKKT58B652.jpg,H2T3FMTEI-Q 
38,881,A Few Good Men,In the heart of the nation's capital.. in a courthouse of the U.S. government.. one man will stop at nothing to keep his honor.. and one will stop at nothing to find the truth.,1992-12-11,rLOk4z9zL1tTukIYV56P94aZXKk,/H40nWdJngUc6gtytMAbElm9HOu.jpg,2T2pyqrr8UM uTE592ryZx4 
39,47964,A Good Day to Die Hard,Yippee Ki-Yay Mother Russia,2013-02-06,9Zq88w35f1PpM22TIbf2amtjHD6,/mV1HOCbUqx7nfFPwledYsvMYHrw.jpg,eLu3z4Ikwes 
40,9476,A Knight's Tale,He Will Rock You,2001-05-11,bBzCG34Iel2xgaioYakXd8auPgt,/inFHVFQb1qUzSSb8OjQs3B6kmIJ.jpg,zH6U5y086hw yw7PQDsCC4Y 
41,258230,A Monster Calls,Stories are wild creatures.,2016-10-07,eNTalDnE6AcFKghdvws2ckguYWC,/sBtLpesSh0pniKHGWZjgyxmtIks.jpg,uW_GNKVuZ1c oaGOEUVl-U8 WMgm20Di9Wg 8q-7trUd8Vw R6Xg_zl7Jhw R28irt57Uq8 1E-bYpOT1po 
42,12403,A Perfect Getaway,Welcome to paradise. Enter at your own risk.,2009-06-08,1o02GkPUt53cJpkvTrbz6hFygOI,/5LDZyMvFN1cHtfXCVs54BODa2qk.jpg,izudtkH3rkU 
43,1965,A Perfect Murder,A powerful husband. An unfaithful wife. A jealous lover. All of them have a motive. Each of them has a plan.,1998-06-05,wC0ax12N9GQ8vMXPEs4nES5AAiB,/dNW7ftcqEAvKmDkuRPaLC4gnhwJ.jpg,K8X6yTa92VY 
44,447332,A Quiet Place,If they hear you.. they hunt you.,2018-04-03,nAU74GmpUk7t5iklEp3bufwDq4n,/roYyPiQDQKmIKUEhO912693tSja.jpg,p9wE8dyzEJE P8Q6ma2sfJQ WR7cc5t7tv8 tcp5WJYrwsE McedVvscNNI RbLyhSiOA4Y rqEnM25BsNQ 
45,484247,A Simple Favor,Can you keep a secret?,2018-08-29,aIYsjQM0piKc0ibPBCTWv3sqshj,/nb1s8r6MhDcPyMjx3sjw9rFsEP5.jpg,fbNgGYXNgGM BXLWzAfE0jk rAqMlh0b2HU 
46,332562,A Star Is Born,Is the price of stardom a broken heart,2018-10-03,wrFpXMNBRj2PBiN4Z5kix51XaIZ,/mnDvPokXpvsdPcWSjNRPhiiLOKu.jpg,nSbzyEJ8X9E I3h6TVdD268 4eZuEXF_nRw ukg0fNQhy7M 3tnl9Kpw5jY 
47,169917,A Walk Among the Tombstones,Some people are afraid of all the wrong things,2014-09-18,bQTHTZezSudf27mMQtedHf1XpgO,/isrro0soStk2tSWMsI50lPPhUsU.jpg,0JjRoh13vzY 
48,407451,A Wrinkle in Time,Be a warrior,2018-03-08,yAcb58vipewa1BfNit2RjE6boXA,/zqUaMojohr96itJYCE3W1NauTn7.jpg,E4U3TeY2wtM UhZ56rcWwRQ zvN1u9BwlSo kEEBq1vDTa8 WiPVPS9Bjhs Kau_bpskU94 ZwqpCDOFPig SRy16biMcxI s3WRsZhvF3Y -LRhcadlX8c DlNF9jkXMao JC0LVaz5ZL0 MHJBdfmeCss h54xISO-fJ0 
49,59965,Abduction,They stole his life. He's taking it back.,2011-09-22,coL8O01xtvBTT6KsjGteDNglmKJ,/1YWLV7cmrmwfVaqj0KbaNcMdTsn.jpg,CEVkp5Je7m0 
50,122906,About Time,What if every moment in life came with a second chance?,2013-08-16,ls6zswrOZVhCXQBh96DlbnLBajM,/gfwiI66pkNA6EGgKNZiAsDnnoYc.jpg,7OIFdWk83no 
